scientific_name,title,author,license,original_url,card_url
Desmodium canadense,Desmodium canadense,peganum,CC BY-SA 2.0,https://www.flickr.com/photos/26698606@N03/20305529820,https://live.staticflickr.com/316/20305529820_7df0603f33_z.jpg
Dicentra cucullaria,Dutchman's Breeches (Dicentra cucullaria),Aeranthes,CC BY-NC 2.0,https://www.flickr.com/photos/81566369@N00/17018956278,https://live.staticflickr.com/7666/17018956278_d609b1c66d_z.jpg
Dichondra carolinensis,dichondra carolinensis,Matthew Allen,CC BY-NC 4.0,https://www.inaturalist.org/observations/21620635,https://inaturalist-open-data.s3.amazonaws.com/photos/33471556/medium.jpg
Diervilla lonicera,"Diervilla lonicera (bush-honeysuckle), North Smithfield, RI",Doug_McGrady,CC BY 2.0,https://www.flickr.com/photos/150919437@N06/32050970031,https://live.staticflickr.com/561/32050970031_5ed3986f0b_z.jpg
Diospyros sandwicensis,diospyros sandwicensis,smhogue1,CC BY-NC 4.0,https://www.inaturalist.org/observations/191606833,https://inaturalist-open-data.s3.amazonaws.com/photos/336175993/medium.jpeg
Dryopteris carthusiana,dryopteris carthusiana,Ed Alverson,CC BY 4.0,https://www.inaturalist.org/observations/34031712,https://inaturalist-open-data.s3.amazonaws.com/photos/53511091/medium.jpg
Dryopteris marginalis,"Marginal wood fern, Dryopteris marginalis",Anita363,CC BY-NC 2.0,https://www.flickr.com/photos/61897811@N00/52158498023,https://live.staticflickr.com/65535/52158498023_f7e0582425_z.jpg
Echinacea purpurea,Echinacea purpurea (US Native) 2019 photo,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/48408048621,https://live.staticflickr.com/65535/48408048621_608ea75e4a_z.jpg
Eleocharis macrostachya,eleocharis macrostachya,Barbara Banfield,CC BY 4.0,https://www.inaturalist.org/observations/24005361,https://inaturalist-open-data.s3.amazonaws.com/photos/37129468/medium.jpeg
Elymus canadensis,Elymus canadensis,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/28581856221,https://live.staticflickr.com/7671/28581856221_f28147f0dd_z.jpg
Elymus hystrix,Eastern bottlebrush grass,NatureServe,Public Domain Mark 1.0,https://www.flickr.com/photos/48711769@N08/41474374864,https://live.staticflickr.com/981/41474374864_8665bbe594_z.jpg
Elymus virginicus,elymus virginicus,Nate Martineau,CC BY-NC 4.0,https://www.inaturalist.org/observations/15158880,https://inaturalist-open-data.s3.amazonaws.com/photos/22663144/medium.jpg
Encelia californica,encelia californica,Joey Santore,CC BY-NC 4.0,https://www.inaturalist.org/observations/324253372,https://inaturalist-open-data.s3.amazonaws.com/photos/586853481/medium.jpg
Equisetum fluviatile,equisetum fluviatile,Герман,CC BY-NC 4.0,https://www.inaturalist.org/observations/36746731,https://inaturalist-open-data.s3.amazonaws.com/photos/58137022/medium.jpeg
Equisetum hyemale,Equisetum hyemale @ Lovagny,*_*,CC BY 2.0,https://www.flickr.com/photos/22539273@N00/49103363788,https://live.staticflickr.com/65535/49103363788_ea3ca472ce_z.jpg
Eragrostis spectabilis,Eragrostis spectabilis,dogtooth77,CC BY-NC-SA 2.0,https://www.flickr.com/photos/53817483@N00/43670238844,https://live.staticflickr.com/1860/43670238844_459063b675_z.jpg
Eriogonum compositum,eriogonum compositum,Lucas Green,CC BY-NC 4.0,https://www.inaturalist.org/observations/222783429,https://inaturalist-open-data.s3.amazonaws.com/photos/394673885/medium.jpg
Eriogonum thomasii,eriogonum thomasii,Steve Matson,CC BY 4.0,https://www.inaturalist.org/observations/71390412,https://inaturalist-open-data.s3.amazonaws.com/photos/116225744/medium.jpg
Eriogonum umbellatum,eriogonum umbellatum,Stephanie Calloway,CC BY-NC 4.0,https://www.inaturalist.org/observations/9279816,https://inaturalist-open-data.s3.amazonaws.com/photos/12576042/medium.jpeg
Eriophorum angustifolium,eriophorum angustifolium,Thomas Fuhrmann,CC BY-NC 4.0,https://www.inaturalist.org/observations/86253798,https://inaturalist-open-data.s3.amazonaws.com/photos/142063838/medium.jpg
Eryngium yuccifolium,"190907 268 Millennium Park Chicago - Lurie Garden, Eryngium yuccifolium Rattlesnake Master, Panicum virgatum ‘Shenandoah‘ Red Switchgrass",cultivar413,CC BY 2.0,https://www.flickr.com/photos/131880272@N06/48757010082,https://live.staticflickr.com/65535/48757010082_66e290b774_z.jpg
