scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Bursera simaruba,,,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis foliosa,,,,,,,,,,,,,,,,,,,,,,,,
Calamagrostis rubescens,,,,,,,,,,,,,,,,,,,,,,,,
Calathea lutea,,,,,,,,,,,,,,,,,,,,,,,,
Calliandra conferta,,,,,,,,,,,,,,,,,,,,,,,,
Calliandra eriophylla,,,,,,,,,,,,,,,,,,,,,,,,
Callicarpa americana,,,,,,,,,,,,,,,,,,,,,,,,
Callirhoe involucrata,,,,,,,,,,,,,,,,,,,,,,,,
Callirhoe leiocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Calocedrus decurrens,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus albus,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus bruneaunis,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus leichtlinii,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus luteus,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus nuttallii,,,,,,,,,,,,,,,,,,,,,,,,
Calochortus tolmiei,,,,,,,,,,,,,,,,,,,,,,,,
Caltha biflora,,,,,,,,,,,,,,,,,,,,,,,,
Caltha leptosepala,,,,,,,,,,,,,,,,,,,,,,,,
Caltha palustris,,,,,,,,,,,,,,,,,,,,,,,,
Calycanthus floridus,,,,,,,,,,,,,,,,,,,,,,,,
Calycanthus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Calylophus berlandieri,,,,,,,,,,,,,,,,,,,,,,,,
Calylophus hartwegii,,,,,,,,,,,,,,,,,,,,,,,,
Calylophus serrulatus,,,,,,,,,,,,,,,,,,,,,,,,
Calyptranthes pallens,,,,,,,,,,,,,,,,,,,,,,,,
Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,,,,
Calystegia purpurata,,,,,,,,,,,,,,,,,,,,,,,,
Camassia leichtlinii,,,,,,,,,,,,,,,,,,,,,,,,
Camassia quamash,,,,,,,,,,,,,,,,,,,,,,,,
Campanula americana,,,,,,,,,,,,,,,,,,,,,,,,
Campanula lasiocarpa,,,,,,,,,,,,,,,,,,,,,,,,
